age,Arabian_Sea_N15.1,Qunf_Cave_O18.2,Gulf_of_Aqaba_TSAR.3,East_Med_SST.4,Kinneret_lake_level.5,Lake_Hazar_precip.6,Lake_Hazar_temp.7,Sofular_O18.8,Sofular_O18.9,Aegean_Sea_SST.10,Lake_Maliq_precip.11,Ascunsa_Cave_O18.12,Scarisoara_Cave_O18.13,Adriatic_Sea_SST.14
-6500,6.60035928143713,-1.91479420636838,-9.28969,24.7872881355932,0.969252896270396,-0.359384361485433,0.277620034183791,-8.53910817609998,-10.3471643605866,93.1603554868625,901.146703412074,-8.53716313432836,-9.72507132928524,15.4717194607268
-6450,6.66023952095808,-1.72355132328875,-4.16039,24.7838235294118,0.989168397435898,0.10267430908711,0.527624141764138,-8.37767714884729,-10.2294276729563,85.6723404255319,884.488781939097,-8.63443905405405,-9.91381918461734,14.8749036764706
-6400,6.72011976047904,-1.66444444444444,-0.32251,24.7654411764706,0.979230081495686,0.061985790723252,0.591510205681748,-8.37144989517784,-10.2740423480082,81.3615176151762,861.057070866142,-8.53908027027027,-10.0620260311613,14.4779551369863
-6350,6.78,-1.56698031312069,-0.49128,24.7470588235294,0.968221189889825,-0.642002987562293,1.40394383850214,-8.38564696016777,-10.4644268343816,82.079674796748,878.804826055834,-7.90714783783784,-10.1213037528651,14.783719977169
-6300,6.79785714285714,-1.22511216182202,-2.37499,24.7286764705882,0.962900403225807,-1.83837664007658,0.941728103555849,-7.9695559737434,-10.0611073688364,83.6477464788733,881.660946313529,-8.14344319444444,-10.0969873191968,16.2721458916084
-6250,6.81571428571429,-1.35134949253525,-3.09557,24.7102941176471,0.960995012846866,-1.39519764602678,0.84664926912334,-7.95948887635809,-10.040982576115,89.1407042253521,912.192890332743,-8.45577285714286,-10.0154518486077,16.6686056818182
-6200,6.83357142857143,-1.53686511302287,-0.62201,24.7286956521739,0.951210376706096,-0.942367483986636,1.03056801442057,-7.96257076023392,-9.95922222222222,86.0843755781684,909.611031453795,-8.58120142857143,-10.009676867193,17.0535727272727
-6150,6.84958083832335,-1.65820918486306,-0.95815,24.7939130434783,0.967730315500686,-0.438069638166854,1.20465838544671,-8.02045730994152,-9.94652280701754,77.6986216466235,902.923218135841,-8.61871329113924,-10.0905488758137,17.1475918660287
-6100,6.86455089820359,-1.76644654112046,-5.88291,24.8591304347826,0.965144680115274,-0.21868952585047,1.68046991861188,-8.15203898635478,-9.99310253411306,74.5356455142232,896.235404817888,-8.598276375,-10.1654320987654,17.1109656684492
-6050,6.87952095808383,-1.86734351648599,-9.34763,24.924347826087,0.930468887608069,0.077446558747606,1.62345070898734,-8.27501723819392,-10.1444224884713,77.653807439825,889.547591499934,-8.460570125,-10.2407407407407,17.0383453475936
-6000,6.87928571428571,-1.87458006228286,-7.53129,24.9895652173913,0.930491216407355,-0.413801114391186,1.03324083539315,-8.43183831216927,-10.5443972178779,81.4167920353982,887.867616330897,-8.21592304878049,-10.3888888888889,17.1053795511222
-5950,6.84357142857143,-1.92595087010055,-4.991,25.0875,0.929139553817847,-0.835370037348174,0.896633470684662,-8.41869679849341,-11.0543370998117,85.5650221238938,894.060045165508,-7.92849588235294,-10.6245655516894,17.1711071428571
-5900,6.80785714285714,-2.00006370291126,-4.67166,25.1916666666667,0.926683109452736,-1.4987006663403,1.04296592617301,-8.47549152542373,-11.1825725047081,82.8430425055929,900.252474000119,-8.24429,-10.8004528547526,17.2046785714286
-5850,6.77214285714286,-1.85726111618616,-1.97485,25.2958333333333,0.933337338308458,-1.26192822943786,0.825338060103798,-8.50414012698129,-11.0083304491035,78.7517658664913,906.382713485768,-8.49871186046512,-10.8527624411728,17.23825
-5800,6.76718562874251,-1.49951446408567,2.72378,25.4,0.939991567164179,-1.4771420758641,0.977422717676301,-8.20262683438155,-10.7990230607966,79.8106280828675,909.917477834811,-8.6227176744186,-10.587388697538,17.2489312181566
-5750,6.76419161676647,-1.71901595418477,12.99756,25.4523560209424,0.934333988989734,-1.53696337321227,1.31068850813299,-8.34476939203354,-10.9639559748428,80.8694902992437,913.452242183854,-8.72827981308411,-10.1244444444444,17.2472869383974
-5700,6.76119760479042,-1.62794394482223,18.17356,25.5047120418848,0.928179433752776,-1.36803243387069,1.23472738393858,-8.37030328480063,-10.9791889971163,81.9283525156199,916.987006532898,-8.8215461682243,-9.75,17.2456426586383
-5650,6.81892857142857,-1.39930251874102,13.98448,25.5570680628272,0.929641313841599,-0.790276109030661,1.06345291249742,-8.29391111111116,-10.8432444444445,82.9872147319961,920.521770881941,-8.86216205882353,-9.7,17.2439983788791
-5600,6.91714285714286,-1.54308007830013,-0.27293,25.571875,0.922947356370575,0.150919219977037,1.00806528173709,-8.52992063492068,-10.7439174603175,84.0460769483722,924.056535230985,-8.84097088235294,-9.65949806949807,17.267169005848
-5550,7.01535714285714,-1.89850746880358,-7.08598,25.415625,0.937670328820116,0.280387114451326,0.646387889098733,-8.3852777777778,-10.6185126984127,85.1049391647484,898.233748312584,-8.83213545454546,-9.42011583011583,17.3402684210526
-5500,7.09,-1.38045799588683,-8.36594,25.259375,0.937949187192118,-0.246830056940573,0.312705701841337,-8.12061428571428,-10.6572428571429,89.0343617021277,868.415239238038,-8.84036272727273,-9.24610610610611,17.3384941634241
-5450,7.09,-1.46969881145327,-7.46297,25.103125,0.924880940919037,-0.65683477342661,0.489161736591638,-8.39760317460316,-10.605619047619,89.3043149038462,838.596730163492,-8.82234091836735,-9.20181964443636,17.2912178988327
-5400,7.09,-1.21223929293988,-10.93972,24.9645833333333,0.928187048415322,-0.320865143340839,0.799766941163645,-8.27509914337233,-10.6237504302737,88.73640625,808.778221088946,-8.71125418367347,-9.34863050731231,17.2497604020101
-5350,7.09,-0.954295117520945,-11.31422,24.8604166666667,0.921861958976723,-0.705935422556666,1.11916278902351,-8.16734448967284,-10.4636576209859,88.1684975961538,793.765368207009,-8.57150125,-9.49168231827964,17.3143835175879
-5300,7.11898203592814,-1.43892317111333,-8.59144,24.75625,0.922547600829684,-0.849328431827872,0.974278584947784,-8.19346072666971,-10.3778227046586,87.907316471314,780.771468442247,-8.35015990384615,-9.66006807595844,17.371895542775
