age,A.GulfofOman,B.RedSea,C.TelAkko,D.Golhisar,E.Ledro,F.BucaDellaRenella,ag.AegeanSeaC13.neg,bg.LakeDojran,cg.LakeOhrid,dg.LakeTrifoglietti.3ptavgd,a.NeorLake.neg,b.JeitaCave.neg,c.LakeVan.neg,d.EskiAcigol.neg,e.KocainCave,f.AegeanSea.clay,g.SkalaMarionCave.neg,h.PolevaCave,i.GrottaDiErnesto.neg
-5550,-26.2277980852916,0.912926549661953,477.999019607843,5.30442723543889,245.313199575372,3.95583333333333,0.008333333333333,38.1819090909091,76.2342857142857,159.771025521208,-8242.77662983033,5.2855251258425,-5.89548344617936,0.682608695652174,NA,1.26577308108421,NA,-7.85466666666667,9.2479214930806
-5500,-25.806694214876,0.952979256526606,478.110392156863,5.45928777686629,232.210757961783,4.03974683544304,-0.028235294117647,37.7445162950257,77.4085714285714,157.309666786485,-8279.63067934418,5.03188422489549,-5.67885306122449,0.383695652173913,NA,1.30589039595263,NA,-7.9375,9.64602772945321
-5450,-24.9497999130057,0.93703864567569,463.208823529412,5.61414831829368,227.477434782609,3.91,-0.148823529411765,37.3071234991424,77.5122916666667,154.579048093244,-7639.72141055583,5.06915472229332,-5.56141682881935,0.082417582417582,NA,1.24652412293333,6.23797387897552,-7.99933333333333,8.8283049851054
-5400,-24.0929056111353,1.04212226066897,495.794,5.76900885972108,244.264701863354,3.40695652173913,-0.269411764705882,33.9370082512644,76.9497916666667,151.335866017879,-7282.8229333327,5.12226833767425,-5.84586486486487,-0.21978021978022,-5.54995689688197,1.12083545798889,6.2554685369458,-7.694,9.23822487811878
-5350,-23.2360113092649,1.01911188004614,503.354117647059,5.84556697410429,261.051968944099,3.53836734693878,-0.39,30.1263437139562,77.6565306122449,158.324037334865,-7908.40754561785,5.17606711897313,-4.47174022662889,0.328571428571429,-6.12291807449517,0.995146793044444,6.0985390031117,-7.584,9.03940497694507
-5300,-22.3791170073945,1.08041522491349,472.303725490196,4.97013242284498,277.839236024845,3.65647058823529,-0.337222222222222,31.1155945921089,78.8244680851064,166.028407297648,-7794.59477426546,5.33058321479374,-3.75602871467639,0.936086956521739,-5.15508183179469,0.8694581281,5.89690779198099,-7.71483333333333,9.08633345574774
-5250,-22.2938973466725,1.13707035755479,442.011176470588,4.09469787158567,289.989405010438,3.59636363636364,-0.284444444444444,35.107133265888,80.3483333333333,167.338489445334,-8326.02626916872,5.15243669289552,-4.01817451552407,1.13717391304348,-5.40123502384506,0.946963487705263,5.69527658085029,-7.625,8.84768383783698
-5200,-22.2982470639408,1.10276789468836,431.36,3.21926332032636,295.629801670146,3.63727272727273,-0.231666666666667,37.7964168417033,80.71125,168.121718445189,-8342.03044975535,5.02182303143822,-4.2346413225527,1.18846153846154,-5.42380250568022,1.02446884731053,5.64609314557532,-7.5905,8.70953535902249
-5150,-22.3025967812092,1.19717416378316,408.629411764706,2.34382876906705,271.328230616302,3.72344827586207,-0.235555555555556,38.8323152568264,80.0214893617021,168.904947445043,-7707.06279790956,4.85150673905945,-3.57472293219738,0.765384615384615,-4.8347596614159,1.10197420691579,5.61016603863563,-7.32033333333333,8.66082782430891
-5100,-22.3069464984776,1.22044982698962,474.235294117647,1.46839421780774,241.591029589372,3.98196721311475,-0.324444444444444,39.5065704651394,78.4797872340426,171.72830712819,-6280.01450526813,4.91423146966938,-5.30541513353114,0.186739130434783,-4.58998279402949,1.17280508617222,5.57471026088908,-6.80216666666667,8.88202711821191
-5050,-22.2037103088299,1.1420184544406,537.738431372549,1.6608570224719,236.955461956522,4.03114754098361,-0.413333333333333,39.4966527819102,78.378085106383,182.93187144623,-4330.16791600619,4.91868764845606,-7.14006131679737,-0.606739130434783,-5.370070551864,1.21693804403333,5.55118655376904,-7.148,9.3208879534196
-5000,-21.847033492823,0.995051903114187,551.043137254902,3.22354428838952,232.319894323671,4.08032786885246,-0.502222222222222,36.2247234906139,76.7360869565218,202.453928112154,-2737.78230973538,4.88696084880931,-6.92796529366049,-0.825274725274725,-7.13083859823071,1.26107100189444,5.527662846649,-7.74383333333333,9.15283912602647
-4950,-21.490356676816,0.929230095470541,545.469411764706,4.10370167272727,234.12484556962,4.12950819672131,-0.426666666666667,36.0263856833226,77.8426086956522,198.47848803626,-2169.25610981672,4.95518481915112,-7.02339107360941,-0.627472527472528,-6.94890551790787,1.30520395975556,5.5229881441129,-7.645,8.87273003283525
-4900,-21.1336798608091,1.08894091415831,499.918235294118,3.40635621818181,264.876744303798,4.203046875,-0.31,36.5038035264484,78.555652173913,194.503047960367,-1880.46680134707,5.01330316742082,-7.01748405264177,-0.724565217391304,-6.94311642531408,1.22979762184211,5.56678231050697,-7.4625,8.60847663416845
-4850,-20.7770030448021,1.15995540691193,391.997,2.70901076363636,295.628643037975,4.316328125,-0.193333333333333,36.9812213695741,79.8634782608696,190.527607884474,-1727.88777000793,5.26826781857452,-6.6932349838038,-0.914782608695652,-4.96994457045961,1.07469842007895,5.61057647690104,-7.55733333333333,8.56835411257046
-4800,-20.6012119794104,1.0621978021978,435.332,2.51469108280255,286.982590814196,4.429609375,-0.098235294117647,37.0478111444778,80.1624444444445,192.141892636854,-1863.06903910913,5.15167758792198,-6.43796003879728,-0.194,-4.39956560290408,0.91959921831579,5.65437064329511,-7.82133333333333,8.56762593348147
-4750,-20.5029433785681,1.16234113712375,476.256,2.72862420382166,269.214845511482,4.36924242424242,-0.089411764705882,36.7363886108331,79.814,201.668203353894,-1788.12588448591,5.16855699799273,-6.51699236311239,0.037032967032967,-5.95781739248943,0.764500016552632,5.62490734506891,-7.458,8.47557666692391
-4700,-20.4046747777258,1.2544859390681,507.536,2.95344379683597,269.851020236088,4.23044776119403,-0.080588235294118,37.651177693107,80.33,207.025664981413,-2018.72621600551,5.19137586850125,-6.52599812680115,-0.940989010989011,-5.80873308900789,0.732291778755555,5.59249849637447,-7.64633333333333,8.83541212778448
-4650,-20.3064061768835,1.10683738991146,530.724,3.43953871773522,272.623364249578,4.05134328358209,-0.071764705882353,39.036698995497,79.448,204.247226319703,-2224.15384615437,5.23373032798854,-6.36263409025582,-1.52615384615385,-6.75962603718646,0.73080628195,5.61897571495275,-8.00666666666667,8.49430614228841
